@relation mushroom-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N10-F1

@attribute Edibility {p,e}
@attribute CapShape {x,b,s,f,k,c}
@attribute CapSurface {s,y,f,g}
@attribute CapColor {n,y,w,g,e,p,b,u,c,r}
@attribute Bruises {t,f}
@attribute Odor {p,a,l,n,f,c,y,s,m}
@attribute GillAttachment {f,a}
@attribute GillSpacing {c,w}
@attribute GillSize {n,b}
@attribute GillColor {k,n,g,p,w,h,u,e,b,r,y,o}
@attribute StalkShape {e,t}
@attribute StalkSurfaceAboveRing {s,f,k,y}
@attribute StalkSurfaceBelowRing {s,f,y,k}
@attribute StalkColorAboveRing {w,g,p,n,b,e,o,c,y}
@attribute StalkColorBelowRing {w,p,g,b,n,e,y,o,c}
@attribute VeilType {p}
@attribute VeilColor {w,n,o,y}
@attribute RingNumber {o,t,n}
@attribute RingType {p,e,l,f,n}
@attribute SporePrintColor {k,n,u,h,w,r,o,y,b}
@attribute Population {s,n,a,v,y,c}
@attribute Habitat {u,g,m,d,p,w,l}

@data
e,f,f,g,f,n,f,?,b,k,t,?,f,w,w,?,w,o,e,?,s,g
e,b,y,y,t,a,f,?,b,g,e,?,s,w,w,?,w,o,p,k,s,g
e,b,s,y,t,l,f,c,?,g,?,s,s,w,w,p,?,o,p,n,?,g
e,x,s,n,f,n,f,w,b,?,t,s,s,w,w,p,w,?,e,k,a,g
e,x,s,n,f,n,f,w,b,h,t,?,?,w,w,p,w,o,e,n,a,g
e,f,f,n,f,n,f,w,b,k,t,s,?,w,w,p,w,o,e,k,a,g
e,f,f,w,f,?,f,?,b,n,t,s,s,w,w,?,w,o,?,?,a,g
e,?,f,g,f,n,f,w,b,n,t,f,f,w,w,?,w,?,e,k,s,g
e,f,s,?,f,n,f,w,b,k,t,s,s,?,w,p,w,o,e,k,a,g
e,x,f,n,f,?,f,w,?,h,t,f,f,w,w,p,w,o,e,n,s,g
e,f,f,n,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,k,a,g
e,x,f,?,f,n,f,w,b,k,t,f,f,w,w,p,w,?,e,k,a,g
e,x,s,?,f,?,f,w,b,n,t,f,f,w,w,p,w,o,e,k,a,?
e,?,f,w,f,n,f,w,?,k,t,?,f,w,w,p,w,o,e,n,s,g
e,x,s,g,f,n,f,w,b,p,?,s,s,w,?,p,?,o,e,k,s,g
e,f,s,?,?,n,f,w,b,n,t,f,f,w,w,p,w,o,e,k,s,g
e,x,f,w,f,n,f,w,b,p,?,f,f,w,w,p,w,?,e,?,a,g
e,x,s,n,f,n,f,w,?,n,t,s,f,w,w,p,w,?,e,n,s,g
e,x,?,n,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,n,a,g
e,x,f,w,f,n,f,w,b,?,t,?,?,w,w,p,w,o,e,n,a,g
e,x,s,g,f,n,f,?,b,n,t,f,s,w,w,p,w,o,e,k,a,g
e,x,y,y,?,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,g
e,b,s,y,t,a,f,?,?,k,e,s,s,w,w,?,w,o,p,n,s,g
p,f,y,n,t,p,f,c,n,?,e,s,s,?,w,p,w,o,p,k,v,g
e,x,s,w,f,n,?,w,b,h,t,s,s,w,w,p,w,o,e,k,a,g
e,f,f,w,f,n,f,w,b,n,t,?,s,w,w,p,w,o,e,k,s,g
p,f,s,w,t,p,f,c,n,w,?,s,s,w,w,p,w,o,p,?,v,?
e,f,s,?,f,n,?,w,b,h,t,s,?,?,w,p,w,o,e,n,s,?
e,x,s,g,f,n,f,w,b,h,t,s,s,w,w,?,?,o,e,n,a,?
e,f,s,g,?,n,?,w,b,h,?,s,f,w,w,p,w,o,e,k,a,g
e,x,f,g,f,n,f,w,b,h,t,f,f,w,w,p,w,o,e,n,s,g
e,x,f,w,f,n,f,w,?,h,t,s,s,w,w,p,?,o,e,n,a,g
p,f,y,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,s,g
p,f,y,w,t,?,f,c,n,n,e,s,s,w,w,p,w,o,p,n,s,g
e,f,f,n,?,n,f,w,?,p,t,s,f,w,w,p,?,o,e,k,a,?
e,x,s,n,f,n,f,w,b,?,t,f,f,w,w,p,w,o,e,n,a,?
e,f,s,n,f,n,f,?,b,h,t,s,f,w,w,p,w,o,e,n,s,g
e,?,s,n,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,n,s,?
e,x,s,g,?,n,f,w,b,n,?,f,f,w,w,p,w,o,e,n,s,g
e,x,f,g,f,n,f,w,b,p,t,?,s,w,w,p,w,o,e,k,s,g
e,x,s,w,?,n,f,w,b,p,t,s,f,w,w,p,w,o,?,?,a,g
e,x,f,n,f,n,f,?,b,p,t,s,f,w,w,p,w,o,e,n,s,g
p,x,f,g,f,f,f,c,b,h,e,k,k,?,b,p,w,o,l,h,y,g
e,f,f,w,f,n,?,w,b,h,?,s,f,w,?,p,w,o,e,k,s,g
e,f,f,g,f,n,f,w,b,n,t,f,s,w,w,p,w,o,e,n,s,g
p,x,y,y,f,f,f,c,b,g,e,k,k,p,n,p,?,o,?,h,v,g
p,x,f,?,f,f,f,c,b,h,e,k,k,p,p,p,w,o,l,h,y,g
p,x,f,g,f,f,f,c,b,h,e,k,k,n,b,p,w,o,l,h,v,g
p,x,f,g,?,f,f,c,b,h,e,k,k,b,p,p,w,o,l,h,v,g
p,x,f,?,f,f,f,c,b,?,e,k,k,n,p,p,w,o,l,h,y,g
p,x,y,y,f,f,f,?,b,h,e,k,k,n,p,p,w,o,l,h,?,g
p,x,y,y,f,f,f,c,b,h,e,k,k,?,n,p,w,o,l,h,v,g
p,f,f,g,f,f,?,c,b,g,e,k,k,n,?,p,w,o,l,h,y,g
p,f,f,g,f,f,f,c,b,p,e,k,k,p,b,p,w,o,l,h,v,g
p,f,f,g,?,f,f,c,b,?,?,k,k,b,n,?,w,o,l,?,v,?
p,x,y,g,?,f,f,c,b,h,e,k,?,b,n,p,w,o,l,h,v,g
p,f,y,g,?,f,f,c,b,p,e,k,k,p,n,p,w,o,?,?,?,g
p,x,y,y,f,f,f,c,b,p,e,k,k,n,p,p,w,o,l,h,v,g
p,x,s,b,t,f,f,c,b,p,?,f,s,w,?,p,w,o,p,h,s,g
p,x,f,y,f,?,f,c,b,h,e,k,k,b,n,p,w,o,l,h,y,g
p,f,f,y,f,f,f,c,b,?,e,?,k,p,b,p,w,o,?,h,y,g
p,f,y,g,f,?,f,c,b,p,e,k,k,n,b,p,w,o,l,h,y,g
p,f,f,g,f,f,f,c,b,h,?,k,k,p,p,p,?,o,?,h,v,?
p,x,y,y,f,f,f,c,b,p,e,?,k,n,n,p,w,o,l,?,y,g
p,f,f,y,f,f,f,?,b,h,e,k,k,?,n,p,?,o,?,h,y,g
p,x,y,?,f,f,f,c,b,h,?,k,k,p,n,p,w,o,l,h,y,g
p,?,y,g,f,f,f,c,b,g,e,k,k,n,n,p,w,o,l,h,y,g
p,x,f,y,?,f,f,?,b,p,?,k,k,p,?,p,w,o,l,h,y,g
p,f,y,g,f,f,f,c,b,h,e,k,k,b,n,p,w,o,l,h,y,g
p,f,f,g,?,f,f,c,b,h,e,k,k,b,b,?,w,?,l,h,y,g
p,f,y,g,f,f,f,c,b,p,e,?,k,n,n,p,w,o,l,h,y,g
p,x,f,y,f,f,f,c,b,h,?,k,k,b,p,p,w,o,l,h,v,g
p,x,y,y,f,f,f,c,b,h,e,?,k,b,p,p,w,o,l,?,?,g
p,x,y,g,f,f,f,?,b,p,e,k,k,n,p,p,w,o,l,h,y,g
p,?,f,y,?,?,f,c,b,g,e,k,k,b,b,?,w,o,l,h,y,g
p,x,y,y,?,f,f,c,b,p,e,k,k,b,?,p,w,o,l,h,y,g
p,f,y,g,?,f,f,c,b,h,e,?,k,p,p,p,w,o,l,?,v,g
p,?,y,?,f,f,?,c,b,p,e,k,k,p,n,p,w,o,l,h,?,g
p,f,y,g,f,f,f,c,b,h,e,k,k,?,p,p,w,o,l,h,y,g
p,f,y,g,f,f,?,c,b,p,?,?,k,b,p,p,?,o,l,h,y,g
p,x,y,y,?,?,f,c,b,g,e,?,k,b,b,p,w,o,l,h,y,g
p,f,f,g,?,f,f,?,b,g,e,k,k,b,?,p,w,o,l,h,v,?
p,f,f,y,f,f,f,c,b,h,e,k,k,n,p,p,w,o,l,h,y,g
p,x,y,g,f,f,f,c,?,h,e,k,k,n,b,p,w,o,l,h,y,g
p,f,f,y,f,f,f,c,b,h,e,k,k,n,b,p,w,o,?,h,y,g
p,?,s,b,t,f,f,?,b,p,t,s,s,w,w,p,w,o,?,h,v,g
p,x,?,b,t,f,f,c,b,h,t,f,s,w,?,p,w,?,p,h,v,g
e,x,s,?,?,a,?,c,b,n,e,s,s,w,w,p,w,o,p,?,n,g
p,f,s,b,t,f,?,c,b,h,t,f,f,w,w,p,w,o,p,h,v,g
e,x,y,w,t,l,?,c,b,?,e,s,s,w,?,p,w,o,p,n,s,g
p,f,s,w,t,f,f,c,b,p,t,s,s,w,w,p,w,o,p,?,s,g
p,f,y,b,t,n,f,c,b,?,e,s,s,w,w,p,w,?,p,r,v,?
p,x,s,w,t,f,f,c,b,h,t,f,?,w,w,p,w,o,p,h,s,g
p,f,y,y,f,f,f,?,b,g,?,?,k,n,b,p,w,o,l,h,v,?
p,f,s,g,t,f,f,c,b,w,t,f,?,w,w,p,w,?,p,h,s,g
p,x,?,w,?,?,f,c,b,w,t,s,s,w,w,p,w,o,p,h,s,g
p,x,s,w,t,f,f,c,?,p,t,s,f,w,w,p,w,o,p,h,s,?
e,x,y,y,t,l,f,c,b,n,e,s,s,w,w,p,w,?,p,k,s,g
p,x,s,b,t,f,f,c,b,h,t,s,f,w,w,p,w,o,p,h,?,g
p,x,f,y,f,f,?,?,b,h,e,k,k,p,b,p,w,o,l,h,y,g
p,f,?,b,t,f,f,c,b,?,t,s,?,w,w,p,w,o,p,h,?,g
e,b,y,w,t,l,f,c,?,k,e,s,s,w,w,?,?,o,p,k,n,g
e,x,?,w,t,l,f,?,b,k,e,s,s,w,w,p,w,o,p,k,s,g
e,x,?,w,t,l,f,c,b,g,e,s,s,w,?,p,w,o,p,n,n,g
e,?,?,w,t,a,f,?,b,k,e,s,s,w,?,p,w,o,p,n,s,g
p,f,s,w,t,f,?,c,b,h,t,s,f,w,w,?,?,o,p,h,s,g
p,f,y,y,f,f,f,c,b,p,e,k,k,b,n,p,w,o,l,h,y,g
p,f,f,?,f,f,f,c,?,p,?,k,k,n,p,p,w,o,l,h,?,g
e,b,s,y,?,a,f,c,b,w,e,s,s,?,w,p,w,o,?,n,?,g
p,f,y,?,f,f,f,c,?,g,e,k,k,b,n,p,w,o,l,h,v,g
p,?,y,y,f,f,f,c,b,g,e,k,k,n,p,p,w,o,?,h,v,g
p,f,s,p,t,n,f,c,?,r,?,s,s,w,w,p,w,t,p,r,?,g
e,?,s,?,f,n,f,w,b,w,e,s,k,w,w,p,w,t,p,w,n,g
e,b,f,w,f,n,f,w,b,w,e,s,k,w,w,p,w,t,p,w,s,g
e,x,f,w,f,n,f,w,b,g,e,s,k,w,w,p,w,t,p,w,?,g
e,?,f,w,f,n,?,w,b,p,e,s,s,w,w,p,w,t,p,w,s,g
e,k,s,w,f,n,f,w,b,p,e,?,s,w,w,p,w,t,p,w,s,g
e,k,f,?,f,n,f,w,b,p,e,?,s,w,w,p,w,t,p,w,n,g
e,k,f,w,f,n,f,w,b,?,e,k,k,w,?,p,w,t,p,w,n,?
e,k,s,?,?,n,f,?,b,p,e,s,k,w,w,p,w,?,p,w,n,g
e,k,s,g,f,n,f,w,b,g,e,k,s,w,w,p,w,?,p,w,n,g
e,x,f,w,f,n,?,w,b,?,e,k,k,w,w,p,w,t,p,w,?,g
e,?,s,g,f,n,f,w,b,p,e,k,s,w,w,p,w,t,p,w,n,?
e,k,s,g,f,?,f,?,b,?,e,s,s,w,w,?,w,t,p,w,n,g
e,?,?,g,f,n,f,w,b,p,e,s,k,w,?,?,?,t,p,w,s,g
e,k,?,g,f,n,f,?,?,p,e,k,s,w,w,p,w,t,p,w,n,g
e,x,f,g,f,?,f,w,b,p,e,?,?,w,w,p,w,t,?,w,n,g
e,k,s,g,f,n,?,w,b,g,e,s,k,w,w,p,w,t,p,w,s,g
e,x,?,g,f,n,f,w,?,w,e,s,s,w,w,?,w,t,p,w,s,g
e,x,f,g,f,n,?,?,?,p,e,?,s,w,?,p,w,t,p,w,n,?
e,k,f,?,f,n,f,w,b,g,e,k,s,?,w,p,?,t,?,w,n,g
e,b,f,w,f,n,f,w,?,p,e,k,k,w,w,p,w,t,p,w,s,g
e,k,f,g,f,n,f,w,b,p,e,s,k,w,w,p,w,t,p,w,s,g
e,b,f,w,?,?,f,w,b,p,e,s,?,w,w,p,w,t,p,w,s,g
e,b,?,?,f,?,f,w,?,p,e,s,k,w,w,p,w,t,p,?,n,g
e,x,?,w,f,?,f,w,b,g,e,k,s,w,w,p,?,t,p,w,n,g
e,x,?,w,f,n,f,w,?,w,e,k,s,w,w,p,w,t,p,w,s,g
e,k,s,w,f,n,f,w,b,?,e,s,s,w,w,p,w,t,p,?,n,?
e,x,s,g,f,n,f,w,b,g,e,s,k,w,w,?,w,?,p,w,n,g
e,k,s,w,f,n,f,w,?,w,e,s,k,w,w,p,w,t,p,w,s,g
e,b,?,g,f,n,f,w,b,g,e,k,s,w,w,p,w,t,p,w,n,?
e,f,f,n,?,n,?,?,b,p,t,s,s,w,g,p,w,?,p,k,v,d
e,x,y,?,t,n,f,c,b,n,t,s,?,p,p,p,w,o,p,k,y,d
e,x,f,g,t,?,f,c,b,?,t,s,s,w,p,p,w,o,p,n,v,d
e,f,f,?,t,n,f,c,b,n,t,?,s,p,g,p,w,o,p,k,?,d
e,x,y,n,t,n,f,c,b,n,t,s,s,g,?,p,w,o,p,n,y,d
e,x,y,n,t,n,f,c,b,p,t,s,s,g,p,p,w,o,p,k,v,?
e,f,f,n,t,n,f,c,?,n,t,s,s,p,p,p,w,?,p,k,v,d
e,f,f,?,t,n,f,c,b,w,?,s,s,p,p,p,w,o,p,n,v,d
e,f,f,n,?,n,f,c,b,n,?,s,?,g,w,p,w,o,p,n,v,?
e,x,y,n,t,n,f,c,b,w,t,s,s,?,p,p,w,o,p,k,y,?
e,x,f,g,t,n,?,c,b,w,t,s,s,w,g,p,w,o,p,n,v,d
e,f,y,?,t,n,f,c,?,p,t,s,s,?,g,p,w,?,?,n,v,d
e,x,f,?,t,n,f,c,b,u,t,s,s,g,w,p,w,o,p,n,y,d
e,x,y,e,t,n,f,c,?,u,t,s,s,?,w,p,?,o,p,k,?,d
e,x,?,n,t,n,f,c,b,n,t,s,s,w,g,p,w,o,p,n,v,d
e,x,f,g,t,n,f,?,b,n,t,s,s,w,p,p,w,?,p,k,?,d
e,?,y,e,t,n,?,?,b,w,t,s,s,?,p,p,w,o,p,n,y,d
e,f,f,n,t,n,f,?,?,p,t,s,s,g,p,p,w,o,?,k,y,d
e,x,y,e,?,n,f,c,b,w,t,s,?,p,g,p,w,o,p,k,?,?
e,f,f,e,t,n,f,c,b,w,t,s,s,g,p,?,w,o,p,n,v,d
e,?,y,g,t,n,f,c,b,u,t,s,s,p,?,p,w,o,p,n,y,d
e,x,f,e,t,n,f,c,b,w,t,s,?,p,?,p,w,o,p,k,y,d
e,x,y,g,t,n,?,c,b,?,t,s,s,w,g,p,w,o,?,n,y,d
e,f,f,n,t,n,f,c,b,p,t,s,s,p,w,p,w,?,p,?,y,d
e,x,?,g,t,n,f,c,b,w,t,s,s,g,g,p,w,o,p,k,y,d
e,x,f,e,t,n,f,c,b,n,t,?,s,g,p,p,w,o,p,n,v,d
e,x,y,?,t,n,f,c,b,u,?,s,s,g,g,p,w,o,p,k,?,d
e,x,y,e,t,?,f,?,b,p,t,s,s,p,p,p,?,o,p,n,?,d
e,x,f,e,t,n,f,c,b,n,?,s,s,?,w,p,w,o,p,n,v,d
e,x,y,n,t,n,f,c,b,u,?,s,s,?,p,?,w,o,p,k,v,d
e,x,y,e,t,n,f,c,b,w,t,s,s,w,p,p,w,o,p,k,v,d
e,?,?,g,t,?,f,c,b,u,t,s,?,?,g,p,w,o,?,k,v,d
e,x,f,e,t,n,f,c,b,w,t,s,s,g,p,p,w,o,p,n,y,d
e,?,y,n,t,n,f,c,b,w,t,s,s,p,p,?,?,o,p,k,v,d
e,x,y,g,t,n,f,c,b,w,?,s,s,p,g,p,w,o,p,n,v,d
e,x,y,n,t,n,f,?,b,?,t,s,?,w,p,p,w,o,?,k,?,d
e,x,y,e,t,n,f,c,b,p,?,s,s,g,p,p,w,o,p,k,v,d
e,x,?,g,t,?,f,c,b,n,t,s,?,w,w,p,w,o,p,n,y,d
e,x,f,n,t,?,f,c,b,w,?,?,s,p,g,p,w,o,?,k,y,d
e,x,y,g,t,n,f,c,b,n,t,s,s,?,w,?,w,o,p,k,y,d
e,f,y,?,t,n,f,c,b,w,t,s,?,?,w,p,w,o,p,k,v,d
